GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
externo-ms,com.scb.externo,ExternoApplication,5,3,0,0,2,1,1,1,1,1
externo-ms,com.scb.externo.service,ExternoService,69,165,6,14,13,29,7,14,3,8
externo-ms,com.scb.externo.controller,ExternoController,6,55,0,2,1,10,1,8,1,7
externo-ms,com.scb.externo.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.exception,ApiExceptionHandler,1,40,1,1,0,7,1,4,0,4
externo-ms,com.scb.externo.dto,Email,0,15,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.dto,NovoEmail,0,9,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.dto,Cobranca,0,15,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.dto,NovoCartaoDeCredito,0,15,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.dto,Erro,0,9,0,0,0,1,0,1,0,1
externo-ms,com.scb.externo.dto,NovaCobranca,0,9,0,0,0,1,0,1,0,1
